[2013-06-21 12:53:09,879] INFO      UPD DB: Processing 146200.info global                             #msmmongo.py[LINE:44]
[2013-06-21 12:53:09,880] INFO      UPD DB: Processing 146200.B38 global                              #msmmongo.py[LINE:44]
[2013-06-21 12:53:09,881] INFO      UPD DB: 146200.B38 global: 3 records processed                    #msmmongo.py[LINE:52]
[2013-06-21 12:53:09,881] INFO      UPD DB: Processing 146200.B42 global                              #msmmongo.py[LINE:44]
[2013-06-21 12:53:09,882] INFO      UPD DB: 146200.B42 global: 2 records processed                    #msmmongo.py[LINE:52]
[2013-06-21 12:53:09,882] INFO      UPD DB: Processing 146200.B53 global                              #msmmongo.py[LINE:44]
[2013-06-21 12:53:09,882] INFO      UPD DB: 146200.B53 global: 1 records processed                    #msmmongo.py[LINE:52]
[2013-06-21 12:53:09,883] INFO      UPD DB: Processing 146200.B50 global                              #msmmongo.py[LINE:44]
[2013-06-21 12:53:09,883] INFO      UPD DB: 146200.B50 global: 1 records processed                    #msmmongo.py[LINE:52]
[2013-06-21 12:53:09,883] INFO      UPD DB: Processing 146200.B51 global                              #msmmongo.py[LINE:44]
[2013-06-21 12:53:09,888] INFO      UPD DB: 146200.B51 global: 22 records processed                   #msmmongo.py[LINE:52]
[2013-06-21 12:53:09,889] INFO      UPD DB: Processing 146200.B48 global                              #msmmongo.py[LINE:44]
[2013-06-21 12:53:10,464] INFO      UPD DB: 146200.B48 global: 2381 records processed                 #msmmongo.py[LINE:52]
[2013-06-21 12:53:10,465] INFO      UPD DB: Processing 146200.B33 global                              #msmmongo.py[LINE:44]
[2013-06-21 12:53:10,466] INFO      UPD DB: 146200.B33 global: 4 records processed                    #msmmongo.py[LINE:52]
[2013-06-21 12:53:10,466] INFO      UPD DB: Processing 146200.B14 global                              #msmmongo.py[LINE:44]
[2013-06-21 12:53:10,830] INFO      UPD DB: 146200.B14 global: 1226 records processed                 #msmmongo.py[LINE:52]
[2013-06-21 12:53:10,830] INFO      UPD DB: Processing 146200.B15 global                              #msmmongo.py[LINE:44]
[2013-06-21 12:53:15,013] INFO      UPD DB: 146200.B15 global: 13904 records processed                #msmmongo.py[LINE:52]
[2013-06-21 12:53:15,013] INFO      UPD DB: Processing 146200.B18 global                              #msmmongo.py[LINE:44]
[2013-06-21 12:53:15,014] INFO      UPD DB: 146200.B18 global: 2 records processed                    #msmmongo.py[LINE:52]
[2013-06-21 12:53:15,015] INFO      UPD DB: Processing 146200.B19 global                              #msmmongo.py[LINE:44]
[2013-06-21 12:53:15,016] INFO      UPD DB: 146200.B19 global: 2 records processed                    #msmmongo.py[LINE:52]
[2013-06-21 12:53:15,016] INFO      UPD DB END                                                        #msmmongo.py[LINE:58]
[2013-06-21 12:56:00,441] INFO      test                                                              #test.py[LINE:25]
[2013-06-21 12:56:00,442] INFO      READ: processing file: /home/alex/python/db/db01.json             #msmjson.py[LINE:128]
[2013-06-21 12:56:03,128] INFO      READ: done.                                                       #msmjson.py[LINE:131]
[2013-06-21 12:56:03,129] INFO      READ: processing file: /home/alex/python/db/diff.json             #msmjson.py[LINE:128]
[2013-06-21 12:56:03,246] INFO      READ: done.                                                       #msmjson.py[LINE:131]
[2013-06-21 12:56:03,246] INFO      ADD DB START                                                      #msmmongo.py[LINE:8]
[2013-06-21 12:56:03,246] INFO      ADD DB: dropping database "146200" ...                            #msmmongo.py[LINE:10]
[2013-06-21 12:56:03,351] INFO      ADD DB: dropping database finished                                #msmmongo.py[LINE:12]
[2013-06-21 12:56:03,352] INFO      ADD DB: Processing 146200.B51 global                              #msmmongo.py[LINE:16]
[2013-06-21 12:56:04,641] INFO      ADD DB: 146200.B51 global: 30701 records processed                #msmmongo.py[LINE:27]
[2013-06-21 12:56:04,641] INFO      ADD DB: Processing 146200.B14 global                              #msmmongo.py[LINE:16]
[2013-06-21 12:56:04,739] INFO      ADD DB: 146200.B14 global: 3583 records processed                 #msmmongo.py[LINE:27]
[2013-06-21 12:56:04,739] INFO      ADD DB: Processing 146200.B15 global                              #msmmongo.py[LINE:16]
[2013-06-21 12:56:06,727] INFO      ADD DB: 146200.B15 global: 101840 records processed               #msmmongo.py[LINE:27]
[2013-06-21 12:56:06,728] INFO      ADD DB: Processing 146200.B12 global                              #msmmongo.py[LINE:16]
[2013-06-21 12:56:06,800] INFO      ADD DB: 146200.B12 global: 2999 records processed                 #msmmongo.py[LINE:27]
[2013-06-21 12:56:06,800] INFO      ADD DB: Processing 146200.B13 global                              #msmmongo.py[LINE:16]
[2013-06-21 12:56:06,830] INFO      ADD DB: 146200.B13 global: 1412 records processed                 #msmmongo.py[LINE:27]
[2013-06-21 12:56:06,831] INFO      ADD DB: Processing 146200.B11 global                              #msmmongo.py[LINE:16]
[2013-06-21 12:56:06,878] INFO      ADD DB: 146200.B11 global: 3328 records processed                 #msmmongo.py[LINE:27]
[2013-06-21 12:56:06,879] INFO      ADD DB: Processing 146200.B18 global                              #msmmongo.py[LINE:16]
[2013-06-21 12:56:06,884] INFO      ADD DB: 146200.B18 global: 206 records processed                  #msmmongo.py[LINE:27]
[2013-06-21 12:56:06,884] INFO      ADD DB: Processing 146200.B19 global                              #msmmongo.py[LINE:16]
[2013-06-21 12:56:07,175] INFO      ADD DB: 146200.B19 global: 10885 records processed                #msmmongo.py[LINE:27]
[2013-06-21 12:56:07,175] INFO      ADD DB: Processing 146200.B38 global                              #msmmongo.py[LINE:16]
[2013-06-21 12:56:07,202] INFO      ADD DB: 146200.B38 global: 85 records processed                   #msmmongo.py[LINE:27]
[2013-06-21 12:56:07,202] INFO      ADD DB: Processing 146200.B39 global                              #msmmongo.py[LINE:16]
[2013-06-21 12:56:07,221] INFO      ADD DB: 146200.B39 global: 685 records processed                  #msmmongo.py[LINE:27]
[2013-06-21 12:56:07,221] INFO      ADD DB: Processing 146200.B34 global                              #msmmongo.py[LINE:16]
[2013-06-21 12:56:07,236] INFO      ADD DB: 146200.B34 global: 424 records processed                  #msmmongo.py[LINE:27]
[2013-06-21 12:56:07,236] INFO      ADD DB: Processing 146200.B35 global                              #msmmongo.py[LINE:16]
[2013-06-21 12:56:07,236] INFO      ADD DB: 146200.B35 global: 0 records processed                    #msmmongo.py[LINE:27]
[2013-06-21 12:56:07,236] INFO      ADD DB: Processing 146200.B36 global                              #msmmongo.py[LINE:16]
[2013-06-21 12:56:07,241] INFO      ADD DB: 146200.B36 global: 187 records processed                  #msmmongo.py[LINE:27]
[2013-06-21 12:56:07,241] INFO      ADD DB: Processing 146200.B37 global                              #msmmongo.py[LINE:16]
[2013-06-21 12:56:07,241] INFO      ADD DB: 146200.B37 global: 0 records processed                    #msmmongo.py[LINE:27]
[2013-06-21 12:56:07,241] INFO      ADD DB: Processing 146200.B54 global                              #msmmongo.py[LINE:16]
[2013-06-21 12:56:07,245] INFO      ADD DB: 146200.B54 global: 107 records processed                  #msmmongo.py[LINE:27]
[2013-06-21 12:56:07,246] INFO      ADD DB: Processing 146200.B33 global                              #msmmongo.py[LINE:16]
[2013-06-21 12:56:07,644] INFO      ADD DB: 146200.B33 global: 15115 records processed                #msmmongo.py[LINE:27]
[2013-06-21 12:56:07,644] INFO      ADD DB: Processing 146200.B45 global                              #msmmongo.py[LINE:16]
[2013-06-21 12:56:07,652] INFO      ADD DB: 146200.B45 global: 0 records processed                    #msmmongo.py[LINE:27]
[2013-06-21 12:56:07,653] INFO      ADD DB: Processing 146200.B44 global                              #msmmongo.py[LINE:16]
[2013-06-21 12:56:07,691] INFO      ADD DB: 146200.B44 global: 2116 records processed                 #msmmongo.py[LINE:27]
[2013-06-21 12:56:07,691] INFO      ADD DB: Processing 146200.B47 global                              #msmmongo.py[LINE:16]
[2013-06-21 12:56:07,692] INFO      ADD DB: 146200.B47 global: 0 records processed                    #msmmongo.py[LINE:27]
[2013-06-21 12:56:07,692] INFO      ADD DB: Processing 146200.B46 global                              #msmmongo.py[LINE:16]
[2013-06-21 12:56:07,692] INFO      ADD DB: 146200.B46 global: 0 records processed                    #msmmongo.py[LINE:27]
[2013-06-21 12:56:07,693] INFO      ADD DB: Processing 146200.B41 global                              #msmmongo.py[LINE:16]
[2013-06-21 12:56:07,702] INFO      ADD DB: 146200.B41 global: 241 records processed                  #msmmongo.py[LINE:27]
[2013-06-21 12:56:07,703] INFO      ADD DB: Processing 146200.B40 global                              #msmmongo.py[LINE:16]
[2013-06-21 12:56:07,714] INFO      ADD DB: 146200.B40 global: 393 records processed                  #msmmongo.py[LINE:27]
[2013-06-21 12:56:07,714] INFO      ADD DB: Processing 146200.B43 global                              #msmmongo.py[LINE:16]
[2013-06-21 12:56:07,715] INFO      ADD DB: 146200.B43 global: 0 records processed                    #msmmongo.py[LINE:27]
[2013-06-21 12:56:07,715] INFO      ADD DB: Processing 146200.B42 global                              #msmmongo.py[LINE:16]
[2013-06-21 12:56:07,764] INFO      ADD DB: 146200.B42 global: 2118 records processed                 #msmmongo.py[LINE:27]
[2013-06-21 12:56:07,764] INFO      ADD DB: Processing 146200.B27 global                              #msmmongo.py[LINE:16]
[2013-06-21 12:56:07,765] INFO      ADD DB: 146200.B27 global: 0 records processed                    #msmmongo.py[LINE:27]
[2013-06-21 12:56:07,765] INFO      ADD DB: Processing 146200.B28 global                              #msmmongo.py[LINE:16]
[2013-06-21 12:56:07,799] INFO      ADD DB: 146200.B28 global: 11 records processed                   #msmmongo.py[LINE:27]
[2013-06-21 12:56:07,799] INFO      ADD DB: Processing 146200.B49 global                              #msmmongo.py[LINE:16]
[2013-06-21 12:56:08,027] INFO      ADD DB: 146200.B49 global: 10801 records processed                #msmmongo.py[LINE:27]
[2013-06-21 12:56:08,028] INFO      ADD DB: Processing 146200.B48 global                              #msmmongo.py[LINE:16]
[2013-06-21 12:56:08,071] INFO      ADD DB: 146200.B48 global: 2607 records processed                 #msmmongo.py[LINE:27]
[2013-06-21 12:56:08,071] INFO      ADD DB: Processing 146200.B9 global                               #msmmongo.py[LINE:16]
[2013-06-21 12:56:08,086] INFO      ADD DB: 146200.B9 global: 524 records processed                   #msmmongo.py[LINE:27]
[2013-06-21 12:56:08,086] INFO      ADD DB: Processing 146200.B4 global                               #msmmongo.py[LINE:16]
[2013-06-21 12:56:08,089] INFO      ADD DB: 146200.B4 global: 113 records processed                   #msmmongo.py[LINE:27]
[2013-06-21 12:56:08,089] INFO      ADD DB: Processing 146200.B52 global                              #msmmongo.py[LINE:16]
[2013-06-21 12:56:08,093] INFO      ADD DB: 146200.B52 global: 85 records processed                   #msmmongo.py[LINE:27]
[2013-06-21 12:56:08,093] INFO      ADD DB: Processing 146200.B1 global                               #msmmongo.py[LINE:16]
[2013-06-21 12:56:08,095] INFO      ADD DB: 146200.B1 global: 106 records processed                   #msmmongo.py[LINE:27]
[2013-06-21 12:56:08,095] INFO      ADD DB: Processing 146200.B53 global                              #msmmongo.py[LINE:16]
[2013-06-21 12:56:08,148] INFO      ADD DB: 146200.B53 global: 1499 records processed                 #msmmongo.py[LINE:27]
[2013-06-21 12:56:08,149] INFO      ADD DB: Processing 146200.B50 global                              #msmmongo.py[LINE:16]
[2013-06-21 12:56:08,419] INFO      ADD DB: 146200.B50 global: 10073 records processed                #msmmongo.py[LINE:27]
[2013-06-21 12:56:08,420] INFO      ADD DB: Creating indexes...                                       #msmmongo.py[LINE:32]
[2013-06-21 12:56:08,420] INFO      ADD DB: Creating index for 146200.B51 collection...               #msmmongo.py[LINE:35]
[2013-06-21 12:56:08,490] INFO      ADD DB: Creating index for 146200.B14 collection...               #msmmongo.py[LINE:35]
[2013-06-21 12:56:08,503] INFO      ADD DB: Creating index for 146200.B15 collection...               #msmmongo.py[LINE:35]
